mw_bin_label	bin_start_kda	bin_end_kda	protein_count	marker_count	signaling_prefix_count	family_count	families	marker_genes	signaling_genes	examples_audit_families	audit_burden_score	audit_priority	bin_center_kda	gaussian_effective_candidate_number	gaussian_identity_entropy_bits	gaussian_ambiguity_percentile	gaussian_marker_gaussian_mass	gaussian_signaling_gaussian_mass	gaussian_family_membership_gaussian_mass	gaussian_contextual_audit_burden_index	gaussian_contextual_audit_burden_score_0_100
102.0-104.0 kDa	102.0	104.0	74	0	0	4	Actin_tubulin; Protein_kinases; Protein_phosphatases; Ubiquitin_proteasome			dysf, CG15175, Pde8, Saf-B, CT7856, Dmel\CG1737, GluRIIE, Dmel\CG6834, rgr, Rpn1 [Ubiquitin_proteasome], Prm, alpha-Cat, CG2164, kek5, Dmel\CG9861, gem, Dmel\CG14183, bi	6.7	elevated	103.0	150.2851829886742	7.23155896694314	0.960306905370844	0.0	0.8639525135719321	6.875585370445252	0.5218727064790022	52.18727064790022
104.0-106.0 kDa	104.0	106.0	71	0	4	5	Actin_tubulin; Histones; Insulin_PI3K_AKT_TOR; Protein_kinases; Toll_Imd_NFkB		Dpp10, Toll-9, smog, tor	Toll-9 [Toll_Imd_NFkB], Spps, dgo, Dmel\CG6059, Pkd2, CR31846, Atxn7, CG17740, Dmel\CG10413, Shark [Protein_kinases], GluRIIB, Dmel\CG9411, Cep104, Dmel\CG4907, Vha100-3, smid, TTLL5 [Actin_tubulin], ukar	13.3	elevated	105.0	144.7185479565465	7.1771060275397245	0.9589769820971867	0.0	3.3757106414244067	7.877989919100924	0.6715393194694903	67.15393194694903
106.0-108.0 kDa	106.0	108.0	61	0	1	4	Insulin_PI3K_AKT_TOR; Notch; Protein_phosphatases; Ubiquitin_proteasome		chico	Dmel\CG2839, frtz, tmn, su(w[a]), Calx, Dmel\CG30484, Ir8a, Vinc, Pdpr, twy, crol, Actn, CG5253, Lztr1, Dmel\CG11951, ssp2, CG31177, side	7.55	elevated	107.0	137.6880489565578	7.105259531677823	0.9577493606138108	0.0	1.5413802686375238	5.906786631074323	0.5975509221456232	59.755092214562325
108.0-110.0 kDa	108.0	110.0	76	0	1	5	Actin_tubulin; Protein_kinases; Protein_phosphatases; RAS_ERK_MAPK; Ubiquitin_proteasome		Rel	SP1029, Rhau, CenG1A, pepCG2111, melt, Ir25a, pHCl-1, EMSY, BBS9, Patr-1, CG33090, Orp8, Dmel\CG31343, tio, Dmel\CG14650, ftz-f1, cg9346, Mco1	9.05	elevated	109.0	133.10743248014106	7.056447320775577	0.9561125319693095	0.0	1.2749862490262585	9.391890759704232	0.5890014003549487	58.90014003549487
110.0-112.0 kDa	110.0	112.0	56	0	1	3	Actin_tubulin; Protein_kinases; Ubiquitin_proteasome		MED24	Rgl, side-IV, Cse1, stau, wtrw, Dmel\CG31077, brat, Khc, mip130, stg1, Cals, dbr, Dmel\CG14309, Dmel\CG4849, Rnb, RhoGAP54D, del, KCNQ	6.55	elevated	111.0	134.88426110461765	7.0755782078088	0.9567263427109974	0.0	1.238035199112407	6.602557187813407	0.5685752532143595	56.85752532143595
112.0-114.0 kDa	112.0	114.0	68	0	0	5	Actin_tubulin; Protein_kinases; Protein_phosphatases; Ubiquitin_proteasome; Wnt_Wingless			CG15516, egl, Dmel\CG17707, Dis3, stx, Ccdc39, TTLL3A [Actin_tubulin], defl, Nmdar1, lov, E23, JYalpha, Rev1, Wnt5 [Wnt_Wingless], MstProx, MetRS, solo, Dmel\CG6686	7.15	elevated	113.0	129.54026944782697	7.017256839823032	0.9551918158567775	0.0	0.46103838437826306	9.141010360404236	0.4967570303742277	49.67570303742277
114.0-116.0 kDa	114.0	116.0	49	0	0	5	Actin_tubulin; Notch; Protein_kinases; Protein_phosphatases; Ubiquitin_proteasome			scny [Ubiquitin_proteasome], Dmel\CG32107, Dmel\CG4887, eater, Dmel\CG5877, Dmel\CG16952, Edem1, otk [Protein_kinases], Gcna, S1P, Dmel\CG14442, Ipo9, side-II, LManIII, Dmel\CG12075, Pdzd8, Dmel\CG15635, Pcl	6.2	routine	115.0	107.15732990189738	6.743586728090015	0.9542710997442455	0.0	0.30470691029166563	9.193309170622788	0.4811646467643926	48.11646467643926
116.0-118.0 kDa	116.0	118.0	44	0	1	2	Hedgehog; Ubiquitin_proteasome		smo	CG7198, Clk, Usp1 [Ubiquitin_proteasome], CG8775, unc-5, Gem3, Dmel\CG16989, Ddr, smo [Hedgehog], Unr, Hcs, asl, zfh1, Dmel\CG13457, Apc2, mwh, SPoCk, ome	5.2	routine	117.0	91.7303849721721	6.519327789314686	0.9531457800511509	0.0	0.9046469375542473	3.2928067929058993	0.5012653670078581	50.126536700785806
118.0-120.0 kDa	118.0	120.0	41	0	0	2	Protein_kinases; Ubiquitin_proteasome			Kap3, Dmel\CG31897, Dis3l2, Tsp, CycT, Tao [Protein_kinases], lds, Ack, ebo, sfl, sxc, CG7388, CngB, Dmel\CG7058, Dmel\CG43968, Glt, srl, ValRS	3.55	routine	119.0	85.90075901306807	6.424598973859384	0.9512020460358056	0.0	0.05000767548431008	3.938533516046626	0.4178624949800258	41.78624949800258
120.0-122.0 kDa	120.0	122.0	43	0	0	4	Hedgehog; Insulin_PI3K_AKT_TOR; Protein_kinases; Ubiquitin_proteasome			l(2)05287, Ire1 [Protein_kinases], Lrpprc2, IRSp53 [Insulin_PI3K_AKT_TOR], Dmel\CG15186, lincRNA.S6902, Prp39, Dmel\CG17097, PNUTS, milt, CG14535, Arts, cg33288, Dmel\CG6280, Lpin, boi [Hedgehog], Gp150, Apl	5.15	routine	121.0	77.46425225446899	6.27545879245883	0.9476214833759591	0.0	0.0	5.312374911702991	0.4120698445282003	41.20698445282003
122.0-124.0 kDa	122.0	124.0	29	0	0	3	Actin_tubulin; Protein_kinases; Ubiquitin_proteasome			Impbeta11, Dmel\CG13251, Dmel\CG13921, Nmdar2, GlyT, Dmel\CG10588, wts [Protein_kinases], Dmel\CG3744, Dmel\CG8155, Cpr76Bd, LManII, Psa, emb, Ogdh1, Nin, Liprin-gamma, TTLL4A [Actin_tubulin], dia	3.7	routine	123.0	79.55088700663744	6.313806111841457	0.9486445012787724	0.0	0.15342690423932892	4.090805149201406	0.4290647609583766	42.90647609583766
