mw_kda	window_candidate_count	gaussian_weighted_candidate_mass	identity_entropy_nats	identity_entropy_bits	effective_candidate_number	mw_discriminability	ambiguity_percentile	auditability_percentile	marker_gaussian_mass	signaling_gaussian_mass	family_membership_gaussian_mass	family_protein_gaussian_mass	marker_context_percentile	signaling_context_percentile	family_context_percentile	contextual_audit_burden_index	contextual_auditability_index	contextual_audit_burden_score_0_100	contextual_auditability_score_0_100	contextual_priority
0.0	7	2.9448331958541294	2.7714504285873147	3.9983577893925113	15.9817976633281	0.0625711838596608	0.907928388746803	0.09207161125319696	0.0	0.0	0.0030961252755770333	0.0030961252755770333	0.0	0.0	0.04342105263157895	0.2378373603445955	0.7621626396554045	23.783736034459547	76.21626396554045	elevated
0.25	8	4.469065254317088	2.945457258235684	4.2493965796070245	19.01935715613649	0.05257801258952412	0.9165217391304348	0.08347826086956522	0.0	0.0	0.007019733213892337	0.007019733213892337	0.0	0.0	0.06447368421052632	0.24524885583524028	0.7547511441647597	24.52488558352403	75.47511441647598	elevated
0.5	14	6.523854579877093	3.1191495479617446	4.499981584635461	22.627128170836027	0.04419473794685506	0.9210230179028133	0.07897698209718673	0.0	0.0	0.014951311303464946	0.014951311303464946	0.0	0.0	0.0881578947368421	0.25229522815991384	0.7477047718400862	25.229522815991384	74.77047718400863	elevated
0.75	21	9.190049972293371	3.2942772964853133	4.752637518952463	26.957924441394137	0.037094843936296924	0.9256265984654731	0.07437340153452687	0.0	0.0	0.029915382219053377	0.029915382219053377	0.0	0.0	0.11644736842105263	0.26051849172163144	0.7394815082783686	26.051849172163145	73.94815082783686	elevated
1.0	25	12.51664185535124	3.463619511046225	4.996946692112645	31.932347079181906	0.031316207277852864	0.9294117647058824	0.07058823529411762	0.0	0.0	0.05622978499333327	0.05622978499333327	0.0	0.0	0.14276315789473684	0.2680437306501548	0.7319562693498451	26.80437306501548	73.19562693498452	elevated
1.25	30	16.532011884486657	3.6303604413241155	5.2375030053377705	37.726412324819606	0.026506628602532552	0.9303324808184144	0.06966751918158565	0.0	0.0	0.09928757065671058	0.09928757065671058	0.0	0.0	0.1736842105263158	0.27600417283618256	0.7239958271638174	27.600417283618256	72.39958271638174	elevated
1.5	35	21.22182059457034	3.7919120407772837	5.470572696716536	44.34110126803732	0.02255243941631275	0.9348337595907928	0.06516624040920715	0.0	0.0	0.16469482049915332	0.16469482049915332	0.0	0.0	0.20986842105263157	0.2861755451608561	0.7138244548391439	28.617554516085608	71.3824454839144	elevated
1.75	45	26.54213361423895	3.9484459235324434	5.6964033530985	51.85471798686949	0.019284648317887242	0.9374936061381074	0.0625063938618926	0.0	0.0	0.2574849155577301	0.2574849155577301	0.0	0.0	0.24210526315789474	0.29489971732400055	0.7051002826759994	29.489971732400054	70.51002826759995	elevated
2.0	56	32.43145585375185	4.100919530305646	5.916376269456652	60.39579783822217	0.016557443328733355	0.9405626598465473	0.0594373401534527	0.0	0.0	0.377782759288928	0.377782759288928	0.0	0.0	0.275	0.30389066496163686	0.6961093350383631	30.389066496163686	69.61093350383632	elevated
2.25	65	38.819699807228204	4.248680476382936	6.129550253599421	70.01296760433608	0.014283068326017757	0.9430179028132992	0.056982097186700775	0.0	0.0	0.5218983020869438	0.5218983020869438	0.0	0.0	0.30855263157894736	0.31289263359806163	0.6871073664019384	31.289263359806164	68.71073664019384	elevated
