mw_kda	window_candidate_count	gaussian_weighted_candidate_mass	identity_entropy_nats	identity_entropy_bits	effective_candidate_number	mw_discriminability	ambiguity_percentile	auditability_percentile	marker_gaussian_mass	signaling_gaussian_mass	family_membership_gaussian_mass	family_protein_gaussian_mass	marker_context_percentile	signaling_context_percentile	family_context_percentile	contextual_audit_burden_index	contextual_auditability_index	contextual_audit_burden_score_0_100	contextual_auditability_score_0_100	contextual_priority
0.0	10	4.355909740874754	2.3697373237106887	3.418808285126895	10.694582701822034	0.09350528467367224	0.9272330595482546	0.07276694045174537	0.0	0.0	0.4466933135469456	0.4466933135469456	0.0	0.0	0.29182630906768836	0.30476484215398575	0.6952351578460143	30.476484215398575	69.52351578460143	high
0.25	11	5.83765091747728	2.4434845004411865	3.525202971275546	11.513088290653366	0.08685766796488713	0.9287089322381931	0.07129106776180694	0.0	0.0	0.5946723785983997	0.5946723785983997	0.0	0.0	0.3275862068965517	0.3140737847836862	0.6859262152163138	31.40737847836862	68.59262152163139	high
0.5	11	7.448252714421716	2.5240078668145274	3.64137363261805	12.478508777437542	0.08013778071047283	0.930441478439425	0.06955852156057496	0.0	0.0	0.7437083830208753	0.7437083830208753	0.0	0.0	0.36334610472541506	0.32344689579121	0.67655310420879	32.344689579121	67.655310420879	high
0.75	12	9.074347391730088	2.6154898807164035	3.773354280404822	13.673913323862644	0.07313195398532168	0.933585728952772	0.06641427104722797	0.0	0.0	0.8737439503018177	0.8737439503018177	0.0	0.0	0.39846743295019155	0.3330132904757409	0.6669867095242591	33.30132904757409	66.69867095242591	high
1.0	13	10.602060478267042	2.721322831210756	3.9260389532456714	15.200416536756812	0.06578767085637785	0.9355107802874744	0.06448921971252564	0.0	0.0	0.964322458978005	0.964322458978005	0.0	0.0	0.43486590038314177	0.34259417016765403	0.657405829832346	34.259417016765404	65.7405829832346	high
1.25	17	11.951304730273327	2.8429931995106785	4.101572190215103	17.167073186886128	0.05825104775366699	0.9384625256673511	0.06153747433264889	0.0	0.0	0.9998088489816293	0.9998088489816293	0.0	0.0	0.46424010217113665	0.35067565695962194	0.6493243430403781	35.067565695962195	64.93243430403781	high
1.5	21	13.102151763174033	2.977833709711732	4.296105925593101	19.645213281054975	0.05090298515437134	0.9400667351129364	0.05993326488706363	0.0	0.0	0.9737966267076048	0.9737966267076048	0.0	0.0	0.4386973180076628	0.3446910132801498	0.6553089867198503	34.46910132801498	65.53089867198503	high
1.75	21	14.10558267665815	3.1189452878516093	4.499686899587517	22.62250682313837	0.04420376609090894	0.9419276180698152	0.058072381930184824	0.0	0.0	0.892231809147458	0.892231809147458	0.0	0.0	0.4042145593869732	0.3365355443641971	0.6634644556358029	33.65355443641971	66.34644556358029	high
2.0	24	15.063946521454046	3.2534121388680726	4.693681558712924	25.878490443838658	0.03864213031166536	0.9434034907597536	0.056596509240246395	0.0	0.0	0.7693508197388271	0.7693508197388271	0.0	0.0	0.36845466155810985	0.32796453807946585	0.6720354619205342	32.796453807946584	67.20354619205342	high
2.25	28	16.1038147708323	3.3711065601362717	4.863478716616852	29.110722006198817	0.03435160418855502	0.9453927104722792	0.05460728952772076	0.0	0.0	0.6277423144147363	0.6277423144147363	0.0	0.0	0.33524904214559387	0.32016043815446826	0.6798395618455317	32.01604381544683	67.98395618455318	high
