mw_bin_label	bin_start_kda	bin_end_kda	protein_count	marker_count	signaling_prefix_count	family_count	families	marker_genes	signaling_genes	examples_audit_families	audit_burden_score	audit_priority	bin_center_kda	gaussian_effective_candidate_number	gaussian_identity_entropy_bits	gaussian_ambiguity_percentile	gaussian_marker_gaussian_mass	gaussian_signaling_gaussian_mass	gaussian_family_membership_gaussian_mass	gaussian_contextual_audit_burden_index	gaussian_contextual_audit_burden_score_0_100
118.0-120.0 kDa	118.0	120.0	228	0	5	3	Actin family; Apoptosis caspase/BCL; Histone family		PIK3CB, PIK3CG, RBL1, RBL2	KDM4C [Histone family], LIMCH1, XPO1, SLC12A5, ATP9A, FAM65A [Actin family], SLC12A1, FAM120C, LNPEP, DLGAP2, CASR, FRMD4A, OFCC1, TSHZ1, PLEKHM1, RPS6KC1, IDE, LIMCH1	21.15	elevated	119.0	456.5721831330352	8.83469915516628	0.9719584188911704	0.2008596650240105	5.689863505496435	19.51241266722534	0.628617777311625	62.861777731162505
120.0-122.0 kDa	120.0	122.0	207	0	3	4	Actin family; Histone family; Lamin family; Tubulin family		PIK3CD, RASAL3, RBL2	DIS3L, SEC24A, ADAMTS6, IPO7, TMPRSS9, HIP1R [Actin family], ANKRD52, USP8, PLEKHG5, PDGFRB, STARD8, SMARCA1, SSH1, B4GALNT3, LOC424167, SH3PXD2A, DIS3L2, GRID2IP [Actin family]	17.85	elevated	121.0	459.12612883061894	8.84274672781869	0.9724075975359343	0.002322486326325674	4.384660347464829	16.632951649396183	0.5695262507658223	56.95262507658223
122.0-124.0 kDa	122.0	124.0	247	0	5	5	Actin family; Histone family; Lamin family; Nuclear receptor PPAR; Tubulin family		PIK3CA, PIK3CB, PPARGC1B, RBL1, RBL2	PIK3CB, PLCH2, MEGF10, PTK7, SUGP2, STARD8, PXN, SMARCC1, FNIP2 [Actin family], KIAA1522, SRGAP1, USP28, LRIG3, KDM4C [Histone family], LRRFIP1 [Actin family], MIS18BP1, STARD8, PHF2	23.6	elevated	123.0	443.0000941353876	8.791163195120802	0.9703542094455853	0.2961326730594793	5.613385076286604	19.783970185509993	0.634384061385649	63.43840613856489
124.0-126.0 kDa	124.0	126.0	179	1	3	5	Actin family; Histone family; JAK-STAT; Tubulin family; p53 pathway	VCL	JAK3, PIK3CA, SRCIN1	XPO7, GLG1, ARHGAP39, ROBO2, ARHGAP39, SRGAP3, KIAA1522, ZNF451, UBE3C, GMIP [Actin family], MYO1H, BMP2K, ITGA2, ZRANB3, ARHGAP45, SLC38A10, ITGA7, ZRANB3	22.2	elevated	125.0	423.00720626538197	8.72453843079081	0.9698408624229979	0.9077753478255004	4.318754879937686	16.316481339488764	0.6534835870101487	65.34835870101487
126.0-128.0 kDa	126.0	128.0	189	0	2	4	Actin family; Apoptosis caspase/BCL; Lamin family; p53 pathway		TP53BP2	TNK2, ZNF628, MYO1C, CORIN, POLR3B, TTF2, CKAP2L, ADAR, LOC107050335, SIN3B, FARP1, ADNP, SLC4A7, B4GALNT4, TRPA1, CEP131, LAMB3 [Lamin family], TP53BP2 [p53 pathway]	15.45	elevated	127.0	391.87270985265997	8.614241296445089	0.9691991786447639	0.050967404130844246	2.7598154052329607	16.368314079752153	0.5635769731721894	56.357697317218935
128.0-130.0 kDa	128.0	130.0	192	0	4	6	Actin family; Apoptosis caspase/BCL; JAK-STAT; Lamin family; Mitochondrial markers; p53 pathway		JAK2, PIK3CG, TP53BP2	, PIK3CG, DGKK, SLC4A5, SEC24B, SYNGAP1, FAM129A, ZFPM2, SENP6, SMC5, ATP2B4, PPIP5K2, ZMYND8, TOPORS, ATP13A5, MICAL1, COBLL1, AUTS2	20.1	elevated	129.0	385.63175246525213	8.591080036047394	0.9686858316221766	0.0	5.656223779446164	13.378237742510718	0.5704703862755385	57.047038627553846
130.0-132.0 kDa	130.0	132.0	180	0	10	4	Actin family; Apoptosis caspase/BCL; Lamin family; Tubulin family		PIK3CG, RASGRF2, RBM20, SRCIN1	MCF2L, RBM20, , FNIP1 [Actin family], PER3, CEP128, LOC121108097, IQSEC1, HEATR6, BLM, TMEM132A, ATP11A, DAB2IP [Actin family], PIK3CG, SORBS1, NRDE2, VWA3A, ZNF644	27.0	elevated	131.0	373.6251140583021	8.545447622096486	0.9681724845995893	0.0	10.043022447225242	13.280671256770225	0.589104034855481	58.9104034855481
132.0-134.0 kDa	132.0	134.0	171	0	3	5	Actin family; Apoptosis caspase/BCL; JAK-STAT; Lamin family; NF-kB/Rel		JAK1, RASGRF2, SRCIN1	GPR158, TAF2, PKP4, TIE1, RASGRF2, KCNT2, ADGRG6, GRM5, PLCB1, MYO1B, CWF19L1, ASTN1 [Actin family], COL1A1, MAN2A2, LOC112531052, CFAP61, STXBP5L, SASH1	16.8	elevated	133.0	365.0972904752361	8.512137151802945	0.9676591375770021	0.0	6.603072615150797	11.736535328212126	0.5753259519069409	57.53259519069409
134.0-136.0 kDa	134.0	136.0	174	0	9	7	Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; Histone family; JAK-STAT; Lamin family; Tubulin family		JAK1, JAK2, RBM33, RBM6, SRCIN1	NCKAP1L, MCF2L, , CGN, LOC107050335, TAF2, WASHC5, ATP8B4, KCNT1, FBRSL1, ATP13A4, ZMYND8, CAPRIN2, ERBB2, SORCS3, CHL1, PRDM15, PHKA1	27.45	elevated	135.0	336.0296356500842	8.392444664802534	0.9671457905544147	0.0	7.565777143799088	19.381405496570267	0.5929663686763927	59.29663686763927
136.0-138.0 kDa	136.0	138.0	154	0	0	5	Actin family; Cell-cycle CDK/cyclin; Histone family; Lamin family; Tubulin family			RAPGEF1, , FBRSL1, KCNH7, WASHC4, ADAMTS3, TBC1D1, CNTLN, , PCDH7, PARD3, CFAP61, REXO1, SALL1, NFASC, MTMR4, ZNF687, TNKS	11.45	elevated	137.0	312.5084294802346	8.287751294766458	0.9665682751540041	0.0	2.1806296340641027	20.4077957553618	0.5401220462278693	54.01220462278693
