mw_bin_label,bin_start_kda,bin_end_kda,protein_count,marker_count,signaling_prefix_count,family_count,families,marker_genes,signaling_genes,examples_audit_families,audit_burden_score,audit_priority
106.0-108.0 kDa,106.0,108.0,61,0,1,4,Insulin_PI3K_AKT_TOR; Notch; Protein_phosphatases; Ubiquitin_proteasome,,chico,"Dmel\CG2839, frtz, tmn, su(w[a]), Calx, Dmel\CG30484, Ir8a, Vinc, Pdpr, twy, crol, Actn, CG5253, Lztr1, Dmel\CG11951, ssp2, CG31177, side",7.55,elevated
108.0-110.0 kDa,108.0,110.0,76,0,1,5,Actin_tubulin; Protein_kinases; Protein_phosphatases; RAS_ERK_MAPK; Ubiquitin_proteasome,,Rel,"SP1029, Rhau, CenG1A, pepCG2111, melt, Ir25a, pHCl-1, EMSY, BBS9, Patr-1, CG33090, Orp8, Dmel\CG31343, tio, Dmel\CG14650, ftz-f1, cg9346, Mco1",9.05,elevated
110.0-112.0 kDa,110.0,112.0,56,0,1,3,Actin_tubulin; Protein_kinases; Ubiquitin_proteasome,,MED24,"Rgl, side-IV, Cse1, stau, wtrw, Dmel\CG31077, brat, Khc, mip130, stg1, Cals, dbr, Dmel\CG14309, Dmel\CG4849, Rnb, RhoGAP54D, del, KCNQ",6.55,elevated
112.0-114.0 kDa,112.0,114.0,68,0,0,5,Actin_tubulin; Protein_kinases; Protein_phosphatases; Ubiquitin_proteasome; Wnt_Wingless,,,"CG15516, egl, Dmel\CG17707, Dis3, stx, Ccdc39, TTLL3A [Actin_tubulin], defl, Nmdar1, lov, E23, JYalpha, Rev1, Wnt5 [Wnt_Wingless], MstProx, MetRS, solo, Dmel\CG6686",7.15,elevated
114.0-116.0 kDa,114.0,116.0,49,0,0,5,Actin_tubulin; Notch; Protein_kinases; Protein_phosphatases; Ubiquitin_proteasome,,,"scny [Ubiquitin_proteasome], Dmel\CG32107, Dmel\CG4887, eater, Dmel\CG5877, Dmel\CG16952, Edem1, otk [Protein_kinases], Gcna, S1P, Dmel\CG14442, Ipo9, side-II, LManIII, Dmel\CG12075, Pdzd8, Dmel\CG15635, Pcl",6.2,routine
116.0-118.0 kDa,116.0,118.0,44,0,1,2,Hedgehog; Ubiquitin_proteasome,,smo,"CG7198, Clk, Usp1 [Ubiquitin_proteasome], CG8775, unc-5, Gem3, Dmel\CG16989, Ddr, smo [Hedgehog], Unr, Hcs, asl, zfh1, Dmel\CG13457, Apc2, mwh, SPoCk, ome",5.2,routine
118.0-120.0 kDa,118.0,120.0,41,0,0,2,Protein_kinases; Ubiquitin_proteasome,,,"Kap3, Dmel\CG31897, Dis3l2, Tsp, CycT, Tao [Protein_kinases], lds, Ack, ebo, sfl, sxc, CG7388, CngB, Dmel\CG7058, Dmel\CG43968, Glt, srl, ValRS",3.55,routine
120.0-122.0 kDa,120.0,122.0,43,0,0,4,Hedgehog; Insulin_PI3K_AKT_TOR; Protein_kinases; Ubiquitin_proteasome,,,"l(2)05287, Ire1 [Protein_kinases], Lrpprc2, IRSp53 [Insulin_PI3K_AKT_TOR], Dmel\CG15186, lincRNA.S6902, Prp39, Dmel\CG17097, PNUTS, milt, CG14535, Arts, cg33288, Dmel\CG6280, Lpin, boi [Hedgehog], Gp150, Apl",5.15,routine
122.0-124.0 kDa,122.0,124.0,29,0,0,3,Actin_tubulin; Protein_kinases; Ubiquitin_proteasome,,,"Impbeta11, Dmel\CG13251, Dmel\CG13921, Nmdar2, GlyT, Dmel\CG10588, wts [Protein_kinases], Dmel\CG3744, Dmel\CG8155, Cpr76Bd, LManII, Psa, emb, Ogdh1, Nin, Liprin-gamma, TTLL4A [Actin_tubulin], dia",3.7,routine
124.0-126.0 kDa,124.0,126.0,42,0,2,5,JNK_MAPK; Notch; Protein_kinases; RAS_ERK_MAPK; Toll_Imd_NFkB,,"RAF2, hep","MEP-1, Dmel\CG6614, dati, CG12982, Dmel\CG15599, Pde6, pico, SREBP, BEST:GM10035, ush, spd-2, Pacs, scb, thw, Dna2, FBXO11, Tl [Toll_Imd_NFkB], iav",8.85,elevated
126.0-128.0 kDa,126.0,128.0,43,0,1,4,Actin_tubulin; Insulin_PI3K_AKT_TOR; Protein_kinases; RAS_ERK_MAPK,,Pi3K92E,"side-V, pic, 2mit, par-1, eag, wry, Eip93F, Dmel\CG4467, mura, Map205, alpha-Man-IIa, subdued, l(2)gl, sac, l(3)L1231, Pi3K92E [Insulin_PI3K_AKT_TOR], X11L, Trpgamma",6.65,elevated
128.0-130.0 kDa,128.0,130.0,43,0,0,3,Histones; Protein_kinases; Ubiquitin_proteasome,,,"CG12982, fw, mus312, Dmel\CG12983, Dmel\CG14441, Cdk12 [Protein_kinases], Hip1, Polr1B, Lk6 [Protein_kinases], Polr3B, GH25970, 1273, Dmel\CG43333, ACXE, Dmel\CG3356 [Ubiquitin_proteasome], stl, Flacc, Ankle2",4.4,routine
130.0-132.0 kDa,130.0,132.0,36,0,1,3,Protein_kinases; Toll_Imd_NFkB; Ubiquitin_proteasome,,Toll-4,"cdi, bon, SA1, GCC185, MBD-R2, Dmel\CG18596, Oatp30B, CG31149, chn, Ac3, Usp7 [Ubiquitin_proteasome], Ctr9, mmm, slam, Magi, CG12211, Uba1 [Ubiquitin_proteasome], HDAC6",5.55,routine
132.0-134.0 kDa,132.0,134.0,32,0,1,4,GAPDH_metabolic_controls; Hedgehog; Protein_kinases; Wnt_Wingless,,pan,"Sym, pan [Wnt_Wingless], RasGAP1, Dmel\CG4835, PIP82, CG12967, hppy [Protein_kinases], Pcb, Dmel\CG1695, Nrd1, Dgk, slo, CG8970, Msh6, Sordl [GAPDH_metabolic_controls], cos, Dmel\CG7728, Frl",6.1,routine
134.0-136.0 kDa,134.0,136.0,36,0,2,4,Actin_tubulin; Heat_shock_chaperones; JAK_STAT; Protein_kinases,,"armi, hop","Dmel\CG5756, Polr2B, kz, srp, L, BcDNA:GH07466, SMC2, Eps-15, hbs, ACXD, Dmel\CG18368, CG32809, Tbcd [Actin_tubulin; Heat_shock_chaperones], Synj, Blimp-1, LeuRS, Sgs1, Nelf-A",7.8,elevated
136.0-138.0 kDa,136.0,138.0,36,0,0,4,Histones; JNK_MAPK; Protein_kinases; Protein_phosphatases,,,"scra, ATP7, Dmel\CG1647, Top3alpha, pdm3, HDAC4 [Histones], Prp5, Octbeta3R, Mat89Ba, kuz, Dmel\CG6230, GramD1B, Sf3b3, syd [JNK_MAPK], CG12644, CG7065, anon-15Db, Nlg2",4.8,routine
138.0-140.0 kDa,138.0,140.0,47,0,1,2,Actin_tubulin; Ubiquitin_proteasome,,PAN2,"CG32543, bun, tapas, Sec31, prom, GABA-B-R2, Ube4B [Ubiquitin_proteasome], AOX4, Dmel\CG3632, Fur1, PMCA, Ret, Dmel\CG42260, Usp15-31, Asator [Actin_tubulin], pds5, rdgB, PAN2",5.35,routine
140.0-142.0 kDa,140.0,142.0,28,0,0,2,Histones; Notch,,,"SMC3, Upf2, Dmel\CG9727, AOX2, pod1, CT33170, CG9776, CG18490, Gfrl, CG7766, disco-r, Dmel\CG30122, EHR, mu2, Ca-Ma2d [Notch], pk, Isha, jvl",2.9,routine
142.0-144.0 kDa,142.0,144.0,40,0,2,2,Hedgehog; JAK_STAT,,"dome, ptc","sl, Dmel\CG9068, Dmel\CG32719, dome [JAK_STAT], Dmel\CG6938, SCAP, trp, Mdr49, Fife, Ae2, Elp1, Ac76E, Dmel\CG4213, ptc [Hedgehog], a, SMC1, RhoGAP102A, Muc11A",6.5,elevated
144.0-146.0 kDa,144.0,146.0,23,0,0,1,Protein_phosphatases,,,"Xpc, Dp1, blo, kibra, RtGEF, Gart, robo3, gprs, Dmel\CG4393, inaE, CG13520, Ptp99A [Protein_phosphatases], Dmel\CG33125, Cap-D3, Dme_CG9270, Mdr50, Nrx-IV, pwn",1.9,routine
