mw_bin_label,bin_start_kda,bin_end_kda,protein_count,marker_count,signaling_prefix_count,family_count,families,marker_genes,signaling_genes,examples_audit_families,audit_burden_score,audit_priority
598.0-600.0 kDa,598.0,600.0,1,0,0,0,,,,HMCN1,0.05,routine
600.0-602.0 kDa,600.0,602.0,1,0,0,0,,,,AHNAK,0.05,routine
602.0-604.0 kDa,602.0,604.0,2,0,0,1,Histone family,,,"KMT2D [Histone family], KMT2D [Histone family]",0.85,routine
612.0-614.0 kDa,612.0,614.0,1,0,0,0,,,,HMCN1,0.05,routine
618.0-620.0 kDa,618.0,620.0,1,0,0,1,Actin family,,,MACF1 [Actin family],0.8,routine
626.0-628.0 kDa,626.0,628.0,1,0,0,0,,,,MDN1,0.05,routine
630.0-632.0 kDa,630.0,632.0,1,0,0,0,,,,MDN1,0.05,routine
636.0-638.0 kDa,636.0,638.0,1,0,0,0,,,,MDN1,0.05,routine
638.0-640.0 kDa,638.0,640.0,1,0,0,0,,,,ADGRV1,0.05,routine
668.0-670.0 kDa,668.0,670.0,1,0,0,1,Actin family,,,MACF1 [Actin family],0.8,routine
688.0-690.0 kDa,688.0,690.0,1,0,0,0,,,,ADGRV1,0.05,routine
760.0-762.0 kDa,760.0,762.0,1,0,0,1,Actin family,,,FSIP2 [Actin family],0.8,routine
772.0-774.0 kDa,772.0,774.0,1,0,0,0,,,,NEB,0.05,routine
794.0-796.0 kDa,794.0,796.0,1,0,0,0,,,,SYNE2,0.05,routine
796.0-798.0 kDa,796.0,798.0,1,0,0,0,,,,SYNE2,0.05,routine
816.0-818.0 kDa,816.0,818.0,1,0,0,0,,,,DST,0.05,routine
832.0-834.0 kDa,832.0,834.0,1,0,0,1,Actin family,,,MACF1 [Actin family],0.8,routine
836.0-838.0 kDa,836.0,838.0,1,0,0,1,Actin family,,,MACF1 [Actin family],0.8,routine
838.0-840.0 kDa,838.0,840.0,3,0,0,1,Actin family,,,"MACF1 [Actin family], MACF1 [Actin family], MACF1 [Actin family]",0.9,routine
840.0-842.0 kDa,840.0,842.0,1,0,0,1,Actin family,,,MACF1 [Actin family],0.8,routine
850.0-852.0 kDa,850.0,852.0,1,0,0,1,Actin family,,,MACF1 [Actin family],0.8,routine
854.0-856.0 kDa,854.0,856.0,1,0,0,1,Actin family,,,MACF1 [Actin family],0.8,routine
858.0-860.0 kDa,858.0,860.0,1,0,0,0,,,,NEB,0.05,routine
862.0-864.0 kDa,862.0,864.0,1,0,0,0,,,,DST,0.05,routine
882.0-884.0 kDa,882.0,884.0,1,0,0,0,,,,NEB,0.05,routine
886.0-888.0 kDa,886.0,888.0,1,0,0,0,,,,NEB,0.05,routine
890.0-892.0 kDa,890.0,892.0,1,0,0,0,,,,NEB,0.05,routine
