mw_bin_label,bin_start_kda,bin_end_kda,protein_count,marker_count,signaling_prefix_count,family_count,families,marker_genes,signaling_genes,examples_audit_families,audit_burden_score,audit_priority
118.0-120.0 kDa,118.0,120.0,228,0,5,3,Actin family; Apoptosis caspase/BCL; Histone family,,"PIK3CB, PIK3CG, RBL1, RBL2","KDM4C [Histone family], LIMCH1, XPO1, SLC12A5, ATP9A, FAM65A [Actin family], SLC12A1, FAM120C, LNPEP, DLGAP2, CASR, FRMD4A, OFCC1, TSHZ1, PLEKHM1, RPS6KC1, IDE, LIMCH1",21.15,elevated
120.0-122.0 kDa,120.0,122.0,207,0,3,4,Actin family; Histone family; Lamin family; Tubulin family,,"PIK3CD, RASAL3, RBL2","DIS3L, SEC24A, ADAMTS6, IPO7, TMPRSS9, HIP1R [Actin family], ANKRD52, USP8, PLEKHG5, PDGFRB, STARD8, SMARCA1, SSH1, B4GALNT3, LOC424167, SH3PXD2A, DIS3L2, GRID2IP [Actin family]",17.85,elevated
122.0-124.0 kDa,122.0,124.0,247,0,5,5,Actin family; Histone family; Lamin family; Nuclear receptor PPAR; Tubulin family,,"PIK3CA, PIK3CB, PPARGC1B, RBL1, RBL2","PIK3CB, PLCH2, MEGF10, PTK7, SUGP2, STARD8, PXN, SMARCC1, FNIP2 [Actin family], KIAA1522, SRGAP1, USP28, LRIG3, KDM4C [Histone family], LRRFIP1 [Actin family], MIS18BP1, STARD8, PHF2",23.6,elevated
124.0-126.0 kDa,124.0,126.0,179,1,3,5,Actin family; Histone family; JAK-STAT; Tubulin family; p53 pathway,VCL,"JAK3, PIK3CA, SRCIN1","XPO7, GLG1, ARHGAP39, ROBO2, ARHGAP39, SRGAP3, KIAA1522, ZNF451, UBE3C, GMIP [Actin family], MYO1H, BMP2K, ITGA2, ZRANB3, ARHGAP45, SLC38A10, ITGA7, ZRANB3",22.2,elevated
126.0-128.0 kDa,126.0,128.0,189,0,2,4,Actin family; Apoptosis caspase/BCL; Lamin family; p53 pathway,,TP53BP2,"TNK2, ZNF628, MYO1C, CORIN, POLR3B, TTF2, CKAP2L, ADAR, LOC107050335, SIN3B, FARP1, ADNP, SLC4A7, B4GALNT4, TRPA1, CEP131, LAMB3 [Lamin family], TP53BP2 [p53 pathway]",15.45,elevated
128.0-130.0 kDa,128.0,130.0,192,0,4,6,Actin family; Apoptosis caspase/BCL; JAK-STAT; Lamin family; Mitochondrial markers; p53 pathway,,"JAK2, PIK3CG, TP53BP2",", PIK3CG, DGKK, SLC4A5, SEC24B, SYNGAP1, FAM129A, ZFPM2, SENP6, SMC5, ATP2B4, PPIP5K2, ZMYND8, TOPORS, ATP13A5, MICAL1, COBLL1, AUTS2",20.1,elevated
130.0-132.0 kDa,130.0,132.0,180,0,10,4,Actin family; Apoptosis caspase/BCL; Lamin family; Tubulin family,,"PIK3CG, RASGRF2, RBM20, SRCIN1","MCF2L, RBM20, , FNIP1 [Actin family], PER3, CEP128, LOC121108097, IQSEC1, HEATR6, BLM, TMEM132A, ATP11A, DAB2IP [Actin family], PIK3CG, SORBS1, NRDE2, VWA3A, ZNF644",27.0,elevated
132.0-134.0 kDa,132.0,134.0,171,0,3,5,Actin family; Apoptosis caspase/BCL; JAK-STAT; Lamin family; NF-kB/Rel,,"JAK1, RASGRF2, SRCIN1","GPR158, TAF2, PKP4, TIE1, RASGRF2, KCNT2, ADGRG6, GRM5, PLCB1, MYO1B, CWF19L1, ASTN1 [Actin family], COL1A1, MAN2A2, LOC112531052, CFAP61, STXBP5L, SASH1",16.8,elevated
134.0-136.0 kDa,134.0,136.0,174,0,9,7,Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; Histone family; JAK-STAT; Lamin family; Tubulin family,,"JAK1, JAK2, RBM33, RBM6, SRCIN1","NCKAP1L, MCF2L, , CGN, LOC107050335, TAF2, WASHC5, ATP8B4, KCNT1, FBRSL1, ATP13A4, ZMYND8, CAPRIN2, ERBB2, SORCS3, CHL1, PRDM15, PHKA1",27.45,elevated
136.0-138.0 kDa,136.0,138.0,154,0,0,5,Actin family; Cell-cycle CDK/cyclin; Histone family; Lamin family; Tubulin family,,,"RAPGEF1, , FBRSL1, KCNH7, WASHC4, ADAMTS3, TBC1D1, CNTLN, , PCDH7, PARD3, CFAP61, REXO1, SALL1, NFASC, MTMR4, ZNF687, TNKS",11.45,elevated
138.0-140.0 kDa,138.0,140.0,134,0,2,6,Actin family; Cell-cycle CDK/cyclin; Histone family; Lamin family; MAPK cascade; Tubulin family,,MAP3K15,"EVC2, PCNX2, NOL6, DCTN1 [Actin family], DIAPH2, NRK, GRM5, PTPRC, MCF2L, RAPH1, JARID2, EGF, IARS, REV1, MAP1S, KIAA0825, LOC415478, SMC2",14.2,elevated
140.0-142.0 kDa,140.0,142.0,143,0,4,6,Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; Histone family; MAPK cascade; NF-kB/Rel,,"MAP3K15, MAP3K5, MAP3K6, RASGRF2","NEK1, KIAA0825, ABCB11, ATRNL1 [Actin family], BSN, MECOM [Histone family], KCNMA1, TJP2, SORBS1, BRIP1, KIF16B, TBC1D9, PPFIA4 [Actin family], PHLDB2, MAP3K6 [MAPK cascade], ADGRA2, MECOM [Histone family], ARHGEF10L",17.65,elevated
142.0-144.0 kDa,142.0,144.0,132,0,3,3,Actin family; Cell-cycle CDK/cyclin; MAPK cascade,,"MAP3K1, MAP3K19, RASGRF1","CRAMP1, ATN1, NPC1, ERBB4, , TRPS1, DCTN1 [Actin family], MMS22L, ZMYM2, NRK, MYPN, HDLBP, IQSEC1, ARHGEF9, TBC1D32, USP42, MYBPC3, SPAG5",13.35,elevated
144.0-146.0 kDa,144.0,146.0,142,0,4,5,Actin family; Cell-cycle CDK/cyclin; Histone family; MAPK cascade; Tubulin family,,"MAPK8IP3, VEGFRKDRL","SOS1, VEGFRKDRL, RRP12, MCF2L2, WDR33, DENND5B, DENND5B, ZNF521, FAM21C, STAG1, YEATS2, ZNF592, TPP2, PHLPP1, TBC1D4, LOC415478, ATP13A3, PLEKHA7",16.85,elevated
146.0-148.0 kDa,146.0,148.0,110,0,1,3,Actin family; Histone family; Tubulin family,,VEGFRKDRL,"MYO6, , IKBKAP, SCAF8, CLUH, ATRNL1 [Actin family], VEGFRKDRL, PPFIA2 [Actin family], CHD1W, IKBKAP, SSH2, PHLDB2, STK36, WDR17, SYNRG, TET1, EHMT1 [Histone family], CENPJ",9.25,elevated
