mw_kda	window_candidate_count	gaussian_weighted_candidate_mass	identity_entropy_nats	identity_entropy_bits	effective_candidate_number	mw_discriminability	ambiguity_percentile	auditability_percentile	marker_gaussian_mass	signaling_gaussian_mass	family_membership_gaussian_mass	family_protein_gaussian_mass	marker_context_percentile	signaling_context_percentile	family_context_percentile	contextual_audit_burden_index	contextual_auditability_index	contextual_audit_burden_score_0_100	contextual_auditability_score_0_100	contextual_priority
0.0	1	0.2929552697238472	2.2882002684078997	3.301175179792872	9.857181426897002	0.10144887840567987	0.6601161232693167	0.3398838767306833	0.0	0.0	0.007634100663766008	0.007634100663766008	0.0	0.0	0.055762081784386616	0.1789695512634258	0.8210304487365742	17.896955126342583	82.10304487365741	routine
0.25	1	0.5511405354552054	2.564432310267634	3.699693776718543	12.993280123875515	0.07696286006814185	0.6860205448861099	0.31397945511389014	0.0	0.0	0.01704167918859029	0.01704167918859029	0.0	0.0	0.0762081784386617	0.19055718083119288	0.8094428191688071	19.055718083119288	80.94428191688071	routine
0.5	1	0.9951491248136882	2.8004625281514883	4.040213401559521	16.45225464246167	0.0607819427629753	0.7141581062974542	0.28584189370254576	0.0	0.0	0.03573744363589442	0.03573744363589442	0.0	0.0	0.10037174721189591	0.20363246337733754	0.7963675366226625	20.363246337733752	79.63675366226624	routine
0.75	2	1.7358057328489276	3.0289232593153943	4.369812565447555	20.674959030577185	0.048367689557258724	0.7427422956677088	0.2572577043322912	0.0	0.0	0.07040300173085534	0.07040300173085534	0.0	0.0	0.12639405204460966	0.2172840869280796	0.7827159130719203	21.72840869280796	78.27159130719204	routine
1.0	3	2.9063609947723115	3.2126376937553713	4.6348564689538305	24.844532140783727	0.040250305150985016	0.7485484591335417	0.25145154086645827	0.0	0.0	0.1302913140154838	0.1302913140154838	0.0	0.0	0.15985130111524162	0.22709994006219583	0.7729000599378042	22.709994006219585	77.29000599378043	routine
1.25	11	4.67831743274242	3.371313917611113	4.863777870217496	29.116758957886727	0.034344481865112755	0.758820902188477	0.24117909781152302	0.0	0.0	0.2265146766685357	0.2265146766685357	0.0	0.0	0.19423791821561337	0.2382647051010226	0.7617352948989774	23.82647051010226	76.17352948989775	routine
1.5	23	7.2268863454450445	3.506142302809464	5.058294112914224	33.31948306123062	0.030012470426456432	0.768646717284502	0.23135328271549804	0.0	0.0	0.36994215681234377	0.36994215681234377	0.0	0.0	0.23141263940520446	0.2500148391724266	0.7499851608275734	25.001483917242663	74.99851608275733	routine
1.75	28	10.70086351862089	3.6230473343948715	5.226952422237459	37.45152141586814	0.026701184950427722	0.7735596248325145	0.2264403751674855	0.0	0.0	0.567581062450623	0.567581062450623	0.0	0.0	0.27230483271375466	0.2614661143865673	0.7385338856134327	26.14661143865673	73.85338856134327	routine
2.0	35	15.177188235743444	3.7287755514540453	5.379485996670761	41.62810547209939	0.024022231822926336	0.788298347476552	0.21170165252344797	0.0	0.0	0.8190761263250517	0.8190761263250517	0.0	0.0	0.31970260223048325	0.27700023742675883	0.7229997625732412	27.70002374267588	72.29997625732412	routine
2.25	41	20.610803011823727	3.827245517047119	5.521548127708395	45.935834339850835	0.02176949682902499	0.7936578829834747	0.20634211701652527	0.0	0.0	1.1102366908009191	1.1102366908009191	0.0	0.0	0.3912639405204461	0.2962304558759802	0.7037695441240198	29.623045587598018	70.37695441240199	routine
2.5	44	26.81472919769662	3.9233498706535657	5.660197402064256	50.5695628526433	0.019774740843893402	0.8128628852166145	0.18713711478338546	0.0	0.0	1.4162257470531043	1.4162257470531043	0.0	0.0	0.41356877323420077	0.3066079146127038	0.6933920853872961	30.66079146127038	69.33920853872961	routine
2.75	57	33.46628558728278	4.0203514526473185	5.800141103365027	55.72068556837147	0.01794665643108358	0.8177757927646271	0.18222420723537291	0.0	0.0	1.702502641332158	1.702502641332158	0.0	0.0	0.44609665427509293	0.31596811175993	0.68403188824007	31.596811175993	68.403188824007	routine
3.0	59	40.16159651909515	4.1205105311950465	5.944640109285842	61.59067820177847	0.01623622322722084	0.8191156766413578	0.18088432335864224	0.0	0.0	1.9333270952375747	1.9333270952375747	0.0	0.0	0.4721189591078067	0.3228086589372911	0.6771913410627088	32.28086589372911	67.71913410627089	routine
3.25	65	46.50550907742868	4.225633149318293	6.096299989137514	68.41780852668053	0.014616077619762335	0.8204555605180884	0.17954443948191157	0.0	0.0	2.0859030285899296	2.0859030285899296	0.0	0.0	0.49070631970260226	0.3277904700551727	0.6722095299448273	32.77904700551727	67.22095299448273	routine
3.5	70	52.206697741934114	4.336181892885496	6.255788113258424	76.4152201447259	0.013086398208446686	0.8222420723537294	0.17775792764627063	0.0	0.0	2.1611725230585863	2.1611725230585863	0.0	0.0	0.49907063197026025	0.3303281760809974	0.6696718239190026	33.03281760809974	66.96718239190027	elevated
3.75	78	57.1572360390095	4.451515433164491	6.422179239867097	85.75680428535298	0.01166088228605782	0.8463599821348816	0.15364001786511838	0.0	0.0	2.1955367167593085	2.1955367167593085	0.0	0.0	0.5027881040892194	0.33728702155602525	0.6627129784439747	33.72870215560253	66.27129784439747	elevated
4.0	92	61.4529097412617	4.56797571980126	6.5901959178584715	96.34887511462081	0.01037894836665562	0.8503796337650736	0.14962036623492636	0.0	0.0	2.2548651292725226	2.2548651292725226	0.0	0.0	0.5046468401486989	0.33875661847844313	0.6612433815215568	33.87566184784431	66.12433815215569	elevated
4.25	105	65.37438623506415	4.6805436592807474	6.752597125908617	107.82867870098038	0.009273970636078174	0.8530594015185351	0.1469405984814649	0.0	0.0	2.436411170686869	2.4356960195078563	0.0	0.0	0.5176579925650557	0.3426793485208977	0.6573206514791023	34.26793485208977	65.73206514791023	elevated
4.5	118	69.30222173215397	4.782748080646218	6.900046937769507	119.43210855118853	0.008372957759272923	0.8642251004912908	0.13577489950870925	0.0	0.0	2.847123924080256	2.8453289299972835	0.0	0.0	0.5511152416356877	0.3538350855317446	0.6461649144682554	35.38350855317446	64.61649144682553	elevated
4.75	132	73.60996448051837	4.869009804475211	7.024496298956128	130.19193757567322	0.007680967182923723	0.8664582402858418	0.13354175971415816	0.0	0.0	3.589894306838593	3.5856619256198563	0.0	0.0	0.5864312267657993	0.3632223667629103	0.6367776332370897	36.322236676291034	63.677763323708966	elevated
5.0	141	78.55023840433154	4.936371579836092	7.121678798214749	139.26402332431607	0.007180605415019601	0.8753907994640464	0.12460920053595359	0.0	0.0	4.744594716602356	4.735219892441167	0.0	0.0	0.6180297397769516	0.3733551348102495	0.6266448651897505	37.335513481024954	62.664486518975046	elevated
5.25	142	84.18705455831967	4.9866549840155585	7.19422241606348	146.44573994010022	0.006828467665969824	0.8771773112996873	0.12282268870031265	0.0	0.0	6.3430052985780945	6.323497957494673	0.0	0.0	0.6524163568773235	0.3823984170442527	0.6176015829557473	38.239841704425274	61.760158295574726	elevated
5.5	140	90.37568696324887	5.0253961124299185	7.250114049905319	152.23054458229745	0.0065689839233242005	0.878517195176418	0.12148280482358198	0.0	0.0	8.36195952878391	8.323827525698672	0.0	0.0	0.6951672862453532	0.3934211203554428	0.6065788796445573	39.34211203554428	60.657887964455725	elevated
5.75	155	96.80811941962409	5.059530518303584	7.299359587982947	157.51654782521095	0.006348539336385502	0.8798570790531487	0.1201429209468513	0.0	0.0	10.713556766104725	10.643534242887567	0.0	0.0	0.7342007434944238	0.40351445563689314	0.5964855443631069	40.35144556368932	59.64855443631068	elevated
6.0	161	103.08588291671089	5.093542965188908	7.348429176432903	162.96622409419592	0.006136240841059133	0.8811969629298794	0.11880303707012063	0.0	0.0	13.253942910903804	13.13314971053959	0.0	0.0	0.7778810408921933	0.4147695009555182	0.5852304990444819	41.47695009555182	58.523049904448186	elevated
6.25	167	108.8368470511226	5.129661351544005	7.400536993312314	168.95989034940686	0.005918564447053161	0.8829834747655203	0.1170165252344797	0.0	0.0	15.792311457435975	15.596560536298934	0.0	0.0	0.7927509293680297	0.4189336010333875	0.5810663989666125	41.89336010333875	58.10663989666125	elevated
6.5	175	113.78223949138223	5.166795948916308	7.454110892786743	175.35209936065374	0.005702811678024223	0.884323358642251	0.11567664135774902	0.0	0.0	18.128000960679216	17.829997206143027	0.0	0.0	0.8141263940520446	0.42461243817357386	0.5753875618264261	42.461243817357385	57.538756182642615	elevated
6.75	177	117.78086529435254	5.202383249602764	7.505452515005719	181.70477408497348	0.005503432725066179	0.888343010272443	0.111656989727557	0.0	0.0	20.078015164944283	19.65183203749484	0.0	0.0	0.8224907063197026	0.4277084291480364	0.5722915708519636	42.770842914803644	57.229157085196356	elevated
7.0	187	120.81399009749059	5.233647119017294	7.550556744369061	187.47530292794423	0.0053340359203705254	0.8945958016971862	0.10540419830281378	0.0	0.0	21.5110511075678	20.93848272401968	0.0	0.0	0.8382899628252788	0.4332214411306162	0.5667785588693838	43.322144113061626	56.677855886938374	elevated
7.25	188	122.94016565126074	5.258628610902799	7.586597418826287	192.21770519670088	0.005202434390612855	0.8963823135328272	0.10361768646717284	0.0	0.0	22.36592279282936	21.643294320508083	0.0	0.0	0.8475836431226765	0.4359914891638759	0.5640085108361241	43.59914891638759	56.400851083612416	elevated
