mw_kda	window_candidate_count	gaussian_weighted_candidate_mass	identity_entropy_nats	identity_entropy_bits	effective_candidate_number	mw_discriminability	ambiguity_percentile	auditability_percentile	marker_gaussian_mass	signaling_gaussian_mass	family_membership_gaussian_mass	family_protein_gaussian_mass	marker_context_percentile	signaling_context_percentile	family_context_percentile	contextual_audit_burden_index	contextual_auditability_index	contextual_audit_burden_score_0_100	contextual_auditability_score_0_100	contextual_priority
0.0	61	25.252361471682928	4.452808995731355	6.424045456167391	85.8678078567843	0.011645807957131764	0.9628847507519037	0.03711524924809628	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24072118768797593	0.7592788123120241	24.072118768797594	75.9278812312024	high
0.25	100	35.71154097145351	4.547409055775208	6.560524493660456	94.3875383822754	0.010594618920454709	0.9641645869328725	0.03583541306712745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24104114673321814	0.7589588532667819	24.104114673321813	75.8958853266782	high
0.5	107	48.245700504977606	4.629632915428257	6.67914844822466	102.47643968526731	0.009758340581223048	0.9644845459781148	0.03551545402188516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2411211364945287	0.7588788635054713	24.112113649452873	75.88788635054713	high
0.75	111	62.27148140114946	4.698971932003017	6.779183503577184	109.8341973657526	0.00910463247316277	0.9648684968324055	0.0351315031675945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24121712420810137	0.7587828757918986	24.121712420810137	75.87828757918986	high
1.0	116	76.79469537286111	4.756411203227932	6.862050855325646	116.32769941078458	0.008596404855121646	0.9652524476866962	0.03474755231330384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24131311192167404	0.758686888078326	24.131311192167402	75.8686888078326	high
1.25	124	90.49641548555724	4.8036183920009075	6.930156432462726	121.95088625520874	0.008200022408261	0.9660203493952774	0.03397965060472263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24150508734881934	0.7584949126511806	24.150508734881935	75.84949126511806	high
1.5	129	101.93261726309439	4.842424562672736	6.986141902446864	126.77635662547549	0.007887906125542117	0.966980226531004	0.03301977346899598	0.0	0.0	0.0006593338255673905	0.0006593338255673905	0.0	0.0	0.01292517006802721	0.2449763491497578	0.7550236508502421	24.49763491497578	75.50236508502421	high
1.75	133	109.81580805587673	4.874589894507241	7.032546667173052	130.9204510037151	0.007638226055084574	0.9683240545210213	0.03167594547897867	0.0	0.0	0.0016637276566001727	0.0016637276566001727	0.0	0.0	0.03333333333333333	0.25041434696358866	0.7495856530364113	25.041434696358866	74.95856530364114	high
2.0	140	113.30985246105782	4.901980445775457	7.072062879654923	134.55599683910648	0.007431850110669809	0.969155948038651	0.030844051961348984	0.0	0.0	0.004577138947556306	0.004577138947556306	0.0	0.0	0.05646258503401361	0.25640463326816615	0.7435953667318338	25.640463326816615	74.35953667318338	high
2.25	142	112.21958342502897	4.9253183389029225	7.105732342334713	137.73318049425703	0.007260414639460797	0.9694759070838933	0.030524092916106693	0.0	0.0	0.012052549651788211	0.012052549651788211	0.0	0.0	0.08503401360544217	0.2636274801723339	0.736372519827666	26.36274801723339	73.6372519827666	high
2.5	146	107.04219741736011	4.944625761480526	7.1335870651397695	140.41829108375254	0.007121579334728905	0.969731874320087	0.030268125679912994	0.0	0.0	0.02749870655035589	0.02749870655035589	0.0	0.0	0.11020408163265306	0.26998398898818504	0.730016011011815	26.998398898818504	73.0016011011815	high
2.75	145	98.83678313835861	4.958955191190865	7.154260062321643	142.44489044531753	0.007020258830441413	0.9699238497472323	0.030076150252767664	0.0	0.0	0.057919587483431234	0.057919587483431234	0.0	0.0	0.13877551020408163	0.2771748399878285	0.7228251600121716	27.71748399878285	72.28251600121716	high
3.0	140	88.97881352469452	4.967126016753734	7.166048071841162	143.61355075536355	0.006963131227800612	0.9701158251743777	0.029884174825622334	0.0	0.0	0.11575932179042019	0.11575932179042019	0.0	0.0	0.17142857142857143	0.28538609915073726	0.7146139008492627	28.538609915073724	71.46139008492626	high
3.25	142	78.87042069366689	4.967716301506075	7.1668996727260765	143.69834866959962	0.006959022210472742	0.9701798169834261	0.029820183016573854	0.0	0.0	0.218397572992301	0.218397572992301	0.0	0.0	0.21156462585034014	0.29543611070844156	0.7045638892915584	29.543611070844157	70.45638892915585	high
3.5	139	69.72708537066154	4.9611026533163365	7.157358195280557	142.75111413672377	0.007005199266201332	0.9699878415562808	0.030012158443719184	0.0	0.0	0.3924943370746744	0.3924943370746744	0.0	0.0	0.25510204081632654	0.3062724705931518	0.6937275294068481	30.62724705931518	69.37275294068482	high
3.75	131	62.44887989725113	4.948994505007658	7.1398898297612785	141.03308454366524	0.007090534843194117	0.9697958661291355	0.030204133870864514	0.0	0.0	0.6708460899286712	0.6708460899286712	0.0	0.0	0.3183673469387755	0.32204080326697776	0.6779591967330223	32.20408032669778	67.79591967330222	high
4.0	120	57.61656249638638	4.935607742077726	7.120576813268709	139.15768882124317	0.007186092327852348	0.9696038907019902	0.030396109298009844	0.0	0.0	1.0897466737076658	1.0897466737076658	0.0	0.0	0.43741496598639457	0.3517547141720962	0.6482452858279037	35.17547141720962	64.82452858279038	high
4.25	92	55.520905957739245	4.924456160499731	7.104488481828067	137.6144810980129	0.007266677111457274	0.9694119152748448	0.030588084725155174	0.0	0.0	1.6874315259688504	1.6874315259688504	0.0	0.0	0.4959183673469388	0.3663325706554459	0.6336674293445541	36.63325706554459	63.36674293445541	high
4.5	99	56.25226244821695	4.921428305058685	7.1001202097987415	137.19843452494987	0.007288712903048085	0.969283931656748	0.030716068343252023	0.0	0.0	2.491777130346197	2.491777130346197	0.0	0.0	0.5496598639455782	0.37973594890058154	0.6202640510994184	37.97359489005815	62.02640510994184	high
4.75	108	59.738046593323524	4.932206953276154	7.1156705121295705	138.68524670470728	0.007210572312202966	0.9695398988929417	0.030460101107058324	0.0	0.0	3.5136038356387185	3.5136038356387185	0.0	0.0	0.5938775510204082	0.3908543624783375	0.6091456375216625	39.08543624783375	60.91456375216625	high
5.0	121	65.78223943759403	4.961557637978651	7.15801459939656	142.81607848195395	0.007002012732945602	0.9700518333653292	0.029948166634670814	0.0	0.0	4.739200805506377	4.739200805506377	0.0	0.0	0.6319727891156462	0.40050615562024383	0.5994938443797562	40.05061556202438	59.94938443797562	high
5.25	125	74.0964312842484	5.011722972379635	7.2303878785613955	150.16324050298857	0.006659419420161607	0.9703717924105715	0.029628207589428524	0.0	0.000812076385145415	6.128731373861811	6.128731373861811	0.0	0.012048192771084338	0.6632653061224489	0.41142132282602617	0.5885786771739738	41.14213228260262	58.85786771739738	high
5.5	140	84.33524356200785	5.081604191252977	7.331205166481241	161.03217524385306	0.006209939091275935	0.9706917514558137	0.029308248544186344	0.0	0.002021251041393035	7.621790308143862	7.621790308143862	0.0	0.02610441767068273	0.6925170068027211	0.42232829398230437	0.5776717060176957	42.232829398230436	57.76717060176957	high
5.75	156	96.13650212710874	5.16707852620633	7.4545185656417265	175.40165688327627	0.005701200420617836	0.9727394893453638	0.027260510654636194	0.0	0.004726070835551463	9.145497301576707	9.145497301576707	0.0	0.04116465863453815	0.7136054421768707	0.4318773975391932	0.5681226024608068	43.18773975391932	56.81226024608068	high
6.0	179	109.17809772741636	5.263143558206663	7.593111110911446	193.0875201132102	0.00517899861893552	0.9738913419082358	0.026108658091764214	0.0	0.01038094264430525	10.641882924825527	10.641882924825527	0.0	0.06224899598393574	0.7278911564625851	0.4410078735886892	0.5589921264113108	44.10078735886892	55.89921264113108	high
6.25	195	123.21990232214391	5.365287674393771	7.740473920790573	213.85274579193214	0.004676114848546061	0.9744672681896718	0.025532731810328224	0.0	0.021420517130275454	12.081016236120018	12.081016236120018	0.0	0.0893574297188755	0.745578231292517	0.45235073230026607	0.547649267699734	45.23507323002661	54.7649267699734	high
6.5	219	138.09936348849823	5.46896755314165	7.8900523677001075	237.21515424755557	0.004215582276655095	0.974787227234914	0.025212772765086044	0.0	0.04152213784816044	13.471257058547565	13.471257058547565	0.0	0.11546184738955824	0.7687074829931972	0.46473913940441736	0.5352608605955826	46.47391394044173	53.52608605955827	high
6.75	247	153.71214171876142	5.569996404991594	8.035806191250726	262.43315578918197	0.0038104941313258484	0.975235169898253	0.024764830101747015	0.0	0.07561118690191435	14.856998839734146	14.856998839734146	0.0	0.14156626506024098	0.7829931972789116	0.4749486580593514	0.5250513419406486	47.494865805935135	52.505134194064865	high
7.0	275	170.01531014965548	5.66689014153965	8.175594304461809	289.13396908228316	0.003458604338929872	0.9768349651244641	0.023165034875535895	0.0	0.12934480780109545	16.31128956294072	16.310533816974143	0.0	0.1676706827309237	0.7959183673469388	0.48510600380058166	0.5148939961994183	48.510600380058165	51.489399619941835	high
7.25	297	186.99781459783094	5.759924102397448	8.309813938425611	317.3242438545225	0.0031513507693362716	0.9781148013054329	0.021885198694567065	0.0	0.20833206526932532	17.910615485260685	17.90863923048991	0.0	0.19377510040160642	0.8081632653061225	0.49501329175329045	0.5049867082467095	49.50132917532905	50.49867082467095	high
7.5	323	204.67604079230898	5.8504057877071975	8.440351417113265	347.3753125141591	0.0028787307674872256	0.979138670250208	0.020861329749792046	0.0	0.315013951292549	19.718396871451482	19.713542107069628	0.0	0.21987951807228914	0.8217687074829932	0.5051967239513726	0.4948032760486274	50.51967239513726	49.48032760486274	high
7.75	352	223.13040240126276	5.940221378956463	8.569927925203089	380.01904844710145	0.002631447039527019	0.9806744736673706	0.019325526332629406	0.0	0.4479722360070448	21.76178964225167	21.75058619909363	0.0	0.2459839357429719	0.8285714285714286	0.5138074594954428	0.4861925405045572	51.380745949544284	48.619254050455716	high
8.0	376	242.52218862283934	6.030072260434573	8.69955534633106	415.7450702160365	0.0024053201628593287	0.9817623344211941	0.018237665578805906	0.0	0.5996014122134953	24.025490416831204	24.001202346839264	0.0	0.27309236947791166	0.8374149659863945	0.5230674174713751	0.4769325825286249	52.30674174713751	47.69325825286249	high
8.25	426	263.1272425380787	6.119475770955122	8.828537347597122	454.6263037063273	0.0021996087596505747	0.9832981378383567	0.016701862161643266	0.0	0.7563803785476438	26.44700668185329	26.397542295101406	0.0	0.3072289156626506	0.8442176870748299	0.5336861851439594	0.4663138148560406	53.36861851439594	46.63138148560406	high
8.5	478	285.31079641992767	6.206796141642206	8.954514013355963	496.10923862651634	0.00201568509945211	0.9838740641197926	0.016125935880207387	0.0	0.9026440621304729	28.92251674378867	28.827882049076564	0.0	0.34036144578313254	0.8503401360544217	0.5436439114893367	0.45635608851066334	54.36439114893366	45.63560885106634	high
8.75	522	309.42777536119866	6.289593405720448	9.073965215640817	538.9341569853162	0.0018555142349740619	0.9851539003007616	0.014846099699238446	0.0	1.021472311579506	31.322149395917343	31.1514720782752	0.0	0.3895582329317269	0.85578231292517	0.5576236115394146	0.44237638846058536	55.76236115394146	44.23763884605854	high
9.0	559	335.69225329283904	6.365923009981581	9.18408555718137	581.681478422906	0.001719153930620702	0.9856658347731491	0.014334165226850937	0.0	1.1044448165738128	33.512958829543	33.22428317377931	0.0	0.40160642570281124	0.8591836734693877	0.561613983486337	0.43838601651366305	56.161398348633696	43.838601651366304	high
