mw_bin_label	bin_start_kda	bin_end_kda	protein_count	marker_count	signaling_prefix_count	family_count	families	marker_genes	signaling_genes	examples_audit_families	audit_burden_score	audit_priority	bin_center_kda	gaussian_effective_candidate_number	gaussian_identity_entropy_bits	gaussian_ambiguity_percentile	gaussian_marker_gaussian_mass	gaussian_signaling_gaussian_mass	gaussian_family_membership_gaussian_mass	gaussian_contextual_audit_burden_index	gaussian_contextual_audit_burden_score_0_100
20.0-22.0 kDa	20.0	22.0	2006	1	59	13	AKT pathway; Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; Heat shock proteins; Histone family; JAK-STAT; Lamin family; MAPK cascade; Mitochondrial markers; NF-kB/Rel; Tubulin family; p53 pathway	Vdac2	Akt1s1, Bcl2a1b, Bcl2a1d, Bcl2l1, Bcl2l2, Casp8ap2, Ccnt1, Cdk20, Cdk5rap1, Fosb, Gsk3b, Jakmip1, Map2k2, Map3k8, Mapk10, Mapk13, Mapk4, Mapkapk5, Pik3cd, Pik3r1, Pik3r4, Prkci, Prkrip1, Rasgrf1, Rbbp9, Rbfox2, Rbm15b, Rbm18, Rbm25, Rbm5, Rbm6, Rbms3, Rbpj, Rbpms, Rbpms2, Rell2, Rho, Rhoa, Rhog, Rhoh, Rhox12, Rhox2a, Rhox2b, Rhox2c, Rhox2d, Rhox2e, Rhox2f, Rhox2g, Rhox2h, Rhox3a, Rhox3a2, Rhox3c, Rhox3e, Vegfa, Vegfb	Bacc1, Smarca2, Sbds, Anxa3, Tmem240, Cd247, Pakap, Qdpr, Obp2b, Csnk2b, Slc47a1, Proser2, Pik3cd, Tm9sf1, Sat1, Septin2, Plin1, Ubr2	123.25	high	21.0	3964.286632596497	11.952845563149033	0.9961156393275599	2.1485151588374416	75.98189148553091	202.23130044667923	0.9152349582894251	91.52349582894252
22.0-24.0 kDa	22.0	24.0	1749	2	55	13	AKT pathway; Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; FOXO/SMAD transcription; Heat shock proteins; Histone family; JAK-STAT; Lamin family; MAPK cascade; Mitochondrial markers; Tubulin family; p53 pathway	Hsp90aa1, Hsp90ab1	Akt1, Bcl2l10, Bcl2l11, Bcl7a, Bcl7b, Bcl7c, Casp9, Ccnd2, Cdk1, Cdkl3, Cdkn1b, Cdkn3, Jakmip1, Map2k2, Map2k4, Mapk1ip1l, Mapk7, Pik3c2g, Pik3r4, Prkacb, Prkag2, Prkar2a, Prkn, Raf1, Rasl10a, Rasl10b, Rassf2, Rassf7, Rbm26, Rbms3, Rbp4, Rbpms2, Rho, Rhob, Rhoc, Rhod, Rhof, Rhoj, Rhoq, Rhox10, Rhox11, Rhox3f, Rhox4a2, Rhox4b, Rhox4c, Rhox4d, Rhox4e, Rhox4f, Rhox4g, Rhox5, Smad2	Il36g, Ctf2, Ppp4r3b, Ttll8 [Tubulin family], Ankub1, Arhgef11, Rhoc, Lrrc51, Ctag2l2, Cask, Sh3glb1, Gpank1, Ttc27, Bud13, Ccnd2 [Cell-cycle CDK/cyclin], Ube4a, Ap3s2, Hdac6 [Histone family]	122.25	high	23.0	3694.4826018087865	11.851156619244401	0.9955425369332654	2.913005596866582	64.42646555071758	166.7319516361575	0.9234799324962134	92.34799324962134
24.0-26.0 kDa	24.0	26.0	1677	2	29	15	AKT pathway; Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; ER markers; FOXO/SMAD transcription; Heat shock proteins; Histone family; Lamin family; MAPK cascade; Mitochondrial markers; NF-kB/Rel; Nuclear receptor PPAR; Tubulin family; p53 pathway	Rplp0, Sdha	Akt1s1, Akt2, Bcl10, Ccnd3, Cdk13, Cdkl3, Foxo3, Mapk3, Mapk8ip3, Pparg, Prkag1, Rasl2-9, Rb1cc1, Rbm24, Rbm38, Rbm4, Rhot1, Rhox1, Rhox13, Rhox3c, Rhox3e, Rhox3f, Rhox3h, Rhox6, Rhox9, Smad7, Srcap, Tp53inp2, Vegfa	Metrn, Cyp4b1, Clec2g, Zfand6, Nme5, Rpgrip1l, Ropn1, Tecr, Ccs, Ext2, Myo1h, Rims1, Yae1d1, Gm3127, Usf2, Brd8dc, Cbfa2t2, Pwwp3a	84.75	high	25.0	3378.2808571936275	11.722073557868574	0.9943963321446765	2.070960838569764	42.43792926992131	173.09393300148983	0.8838786780495177	88.38786780495177
26.0-28.0 kDa	26.0	28.0	1459	2	34	13	AKT pathway; Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; FOXO/SMAD transcription; Heat shock proteins; Histone family; JAK-STAT; Lamin family; MAPK cascade; Mitochondrial markers; Tubulin family; p53 pathway	Tbp, Vdac2	Akt1s1, Akt2, Bcl2, Bcl2l1, Bcl2l12, Bcl7c, Casp12, Casp7, Ccn5, Ccnd3, Fosb, Mapk13, Mapk14, Mapk1ip1, Mapk4, Mdm1, Pik3c2b, Prkar1b, Prkx, Rasgrp2, Rasl11a, Rasl11b, Rassf3, Rassf7, Rbbp7, Rbck1, Rbm11, Rhov, Smad2, Smad3, Stat1, Tp53rkb	Ubl7, Cdc42bpb [AKT pathway], Mpig6b, Eefsec, Adgrg1, Top3b, Megf11, Mdfi, Lat, Malsu1 [Mitochondrial markers], Clns1a, Tmed4, Nat8f3, Gm1979, Rrm2, AI597479, Them4, Tmem147	90.75	high	27.0	3078.997555722787	11.588245006754784	0.9933774834437086	3.361546151623667	45.28030578365143	170.5552447886082	0.9251502704187562	92.51502704187561
28.0-30.0 kDa	28.0	30.0	1290	5	40	14	AKT pathway; Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; FOXO/SMAD transcription; Heat shock proteins; Histone family; Lamin family; MAPK cascade; Mitochondrial markers; NF-kB/Rel; Nuclear receptor PPAR; Tubulin family; p53 pathway	Actb, Gapdh, Pcna, Tbp, Vdac1	Aktip, Casp14, Ccna1, Ccnd3, Ccnq, Cdk4, Cdk5, Cdk8, Fosl1, Hif1a, Map3k1, Mapk10, Mapk13, Nfkb1, Pik3ip1, Ppard, Ppargc1a, Prkag2, Prkag3, Prkar1b, Prkar2b, Prkca, Rasl12, Rbbp8, Rbfox2, Rbm12, Rbm33, Rbm5, Rbmx, Rbp4, Rell1, Rhobtb3, Rhod, Rhou, Rhox5, Smad7, Tgfbrap1	Krtap4-27, Crybb1, Mff [Mitochondrial markers], Kcnj11, Vps11, Pdyn, Ncor1, , Hoxb9, Cecr2 [Histone family], Pdc, Cdk4 [Cell-cycle CDK/cyclin], Slit2, Coro1b, Fubp3, Rpl8, Pik3ip1 [Actin family], Hdhd3	115.5	high	29.0	2631.8488203111897	11.361860904262794	0.9922949566989302	4.633975796301947	42.670376132883746	142.34098378990336	0.9385443277660199	93.854432776602
30.0-32.0 kDa	30.0	32.0	1101	2	24	13	AKT pathway; Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; ER markers; Heat shock proteins; Histone family; Lamin family; MAPK cascade; Mitochondrial markers; NF-kB/Rel; Tubulin family; p53 pathway	Vdac2	Akt1s1, Casp3, Casp6, Ccn2, Ccnb1ip1, Ccnc, Fosb, Map3k10, Mapk13, Mapk3, Prkab1, Prkab2, Prkn, Rasd1, Rasd2, Rbfox1, Rbm39, Rbm7, Rell2, Rhox7a, Rock2, Tgfbr3l	Svs3b, Snai2, Arhgap36, Eif4a3l1, Ppip5k1, Pdcd2l, Fbxw13, Chid1, Gm9758, Rchy1, Fitm2, Mapre1, 2610028H24Rik, Foxr1, 1700012B07Rik, Ankrd55, Mtmr11, Mmp7	75.75	high	31.0	2331.6293424371047	11.187122747158602	0.9913397860417728	3.3216611780525107	30.406188235144242	116.94314832500874	0.8998931184292212	89.98931184292212
32.0-34.0 kDa	32.0	34.0	1067	2	20	11	AKT pathway; Actin family; Cell-cycle CDK/cyclin; Heat shock proteins; Histone family; Lamin family; MAPK cascade; Mitochondrial markers; NF-kB/Rel; Tubulin family; p53 pathway	Actb, Vdac1	Aktip, Ccna2, Ccnc, Ccnd1, Ccnd2, Ccnd3, Ccng1, Ccnh, Cdk10, Cdk4, Cdk5, Map2k6, Pik3c2b, Prkd3, Rbfox2, Rbm39, Rbm4b, Rbmx, Rell2	Zmat3, Jmjd6, Gjb1, C1qtnf1, Oser1, Dgkb, Nkx1-2, Ttpa, Fcho2, D17h6s53e, Sh2d6, Usf1, Nup85, Btbd19, Eci1 [Mitochondrial markers], Dnase1, Mrgprg, Ccser2	68.25	high	33.0	2885.330929137339	11.49452108098352	0.9929317371370352	2.9458306111495443	27.904810338620504	126.75925047502467	0.8895363275933228	88.95363275933228
34.0-36.0 kDa	34.0	36.0	2298	3	25	12	AKT pathway; Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; Heat shock proteins; Histone family; Lamin family; MAPK cascade; Mitochondrial markers; NF-kB/Rel; Tubulin family; p53 pathway	Gapdh, Rplp0, Tbp	Akt1s1, Casp7, Cdk1, Cdk20, Cdk3, Cdk5r1, Cdk7, Fosb, Fosl2, Jun, Junb, Jund, Mapk13, Mapk14, Mapk8, Mapkap1, Mdm4, Nfkbia, Nfkbid, Pik3r4, Prkra, Rassf5, Rbks, Rhox8	Or4b1, Cd276, Slc39a3, Nat1 [Lamin family], Pabpn1, C1qtnf2, Spry1, Tomm40l [Mitochondrial markers], Dhrs1, Or4c127, Smarca2, Fbh1, Ogn, Pex26, Or1j10, Ceacam12, Psmc3, Atad1 [Mitochondrial markers]	81.5	high	35.0	3456.472548147911	11.755084752240307	0.9949057564951604	2.5020830712729056	25.880675868129806	93.62502884511093	0.8666614880729291	86.66614880729291
36.0-38.0 kDa	36.0	38.0	1168	0	17	10	Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; ER markers; Heat shock proteins; Histone family; MAPK cascade; Mitochondrial markers; NF-kB/Rel; Tubulin family		Bcl2l14, Casp2, Ccn2, Ccnh, Cdk6, Cdkn1c, Map2k6, Nfkbib, Prkag1, Rasal2, Rassf2, Rassf4, Rbfox2, Rbms2, Rbmx2, Relch, Rhox7b	Vmn1r193, V1ra11, Ankrd1, Ica1, Or2aj6, Or5al5, Frzb, Or9k7, Prss32, Vmn1r84, Spdya, Kcmf1, Tas2r122, Or4a27, Vmn1r227, Septin12, Ilvbl, Or14j6	53.0	high	37.0	3000.507904623536	11.550991015203458	0.9931227712684666	0.840773903405108	25.096087087413828	108.50486655903546	0.7882814858863976	78.82814858863976
38.0-40.0 kDa	38.0	40.0	918	1	30	12	Actin family; Cell-cycle CDK/cyclin; ER markers; Heat shock proteins; Histone family; JAK-STAT; Lamin family; MAPK cascade; Mitochondrial markers; NF-kB/Rel; Nuclear receptor PPAR; Tubulin family	Gapdh	Ccn3, Ccn6, Ccndbp1, Ccng2, Ccnh, Ccno, Ccny, Cdk2, Cdk20, Cdk5r2, Cdk7, Cdkl4, Jakmip1, Jun, Map2k3, Mapk3, Nfkbie, Ppard, Rassf1, Rassf6, Rassf7, Rbfa, Rbfox1, Rbm43, Rbm4b, Rela, Rho	Spata6l, Elavl2, Rcn3, Ttc3, Mapk3 [MAPK cascade], Taar8b, Nol4, Pax4, Ncoa4, Cobll1, Borcs6, Cts6, Opcml, Rnf167, Ptgr2, Rnf39, Gmpr2, Wdr45b [Actin family]	79.0	high	39.0	2029.8120077251028	10.987130402180062	0.9908303616912888	0.9715268106038947	37.58155876088283	119.75091676129892	0.8227496743703195	82.27496743703196
