mw_bin_label,bin_start_kda,bin_end_kda,protein_count,marker_count,signaling_prefix_count,family_count,families,marker_genes,signaling_genes,examples_audit_families,audit_burden_score,audit_priority
126.0-128.0 kDa,126.0,128.0,128,0,5,2,Actin family; p53 pathway,,"Pik3cg, Rbl2, Rock1, Srcin1","Trp53bp2 [p53 pathway], Pcdh19, Tdrd12, Nek10, Adgrl2, Rfc1, Kcnma1, Catsperb, Kank1, Agbl1, Pcdh17, Agbl1, Bmp2k, Mybpc1, Pbrm1, Btbd7, Lats1, Slc12a5",15.4,elevated
128.0-130.0 kDa,128.0,130.0,134,0,3,4,Actin family; Histone family; Lamin family; Mitochondrial markers,,"Rbm6, Srcin1","Obsl1, Iqsec2, Mybpc1, Sorcs1, Tnks2, Rapgef6, Abl2, Ccdc88b, Polr1b, Abl2, Trappc9, Syngap1, Grm5, Cfap70, Itgal, Dhx37, Erc1 [Actin family], Erc1 [Actin family]",14.2,elevated
130.0-132.0 kDa,130.0,132.0,114,0,5,6,Actin family; Apoptosis caspase/BCL; Histone family; JAK-STAT; Lamin family; NF-kB/Rel,,"Jak2, Rbm20, Relch, Srcin1","Uty, Astn1 [Actin family], Ralgapb, Kif1b, Tbc1d8, Hipk3 [Actin family], Dgkh, Vwa3a, Rbm20, Fnip1 [Actin family], Fbf1, Irs4, Lamc2 [Lamin family], Zmynd8, Nos2, Nfasc, Sgo2b, Hr",17.7,elevated
132.0-134.0 kDa,132.0,134.0,121,0,4,5,Actin family; Apoptosis caspase/BCL; Histone family; JAK-STAT; Tubulin family,,"Jak1, Rbm33, Srcap","Camta2, Rapgef1, Grid2ip, Myo1b, Ccar1 [Apoptosis caspase/BCL], Atp2b2, Adgrl2, Kidins220 [Actin family], Nfasc, Dnaaf9, Pcdh9, Phka1, Prx, Cilp, Sorbs2, Glg1, Catsperg1, Ripor1 [Actin family]",15.8,elevated
134.0-136.0 kDa,134.0,136.0,133,0,8,7,Actin family; Apoptosis caspase/BCL; Histone family; Lamin family; MAPK cascade; Mitochondrial markers; NF-kB/Rel,,"Map3k19, Rasgrf2, Rbp3, Relch, Srcin1","Ttc3, Ctc1, Card11 [Apoptosis caspase/BCL], Wapl, Mn1, Kcnma1, Washc5, Dgkh, Per1, Zbtb38, Nlrp1b, Jag1, Lars1, Zmym4, Hdlbp, Smc2, Sorbs2, Nlrp1a",23.9,elevated
136.0-138.0 kDa,136.0,138.0,110,0,1,6,Actin family; Histone family; Lamin family; MAPK cascade; Mitochondrial markers; Tubulin family,,Rbm33,"Zc3h4, Nbeal1, Slc4a2, Mmrn1, Plekhg1, Aff3, Alpk1, Pcdh9, Lcor, Sorbs2, Gse1, Adamts16, Plch2, Slc4a7, Cand1, Nphs1, Spem3, Auts2",11.5,elevated
138.0-140.0 kDa,138.0,140.0,92,0,0,4,Actin family; Histone family; MAPK cascade; NF-kB/Rel,,,"Dzip3, Dzip3, Col1a1, Ehmt2 [Histone family], Brpf1, Spata13, Adgrl3, Mecom [Histone family], Impg2, Kcnt1, Zbtb40, Nckap5l, Col15a1, Cspp1, Kcnma1, Inf2, Plcb1, Sh3tc2",7.6,routine
140.0-142.0 kDa,140.0,142.0,106,0,0,5,Actin family; Histone family; MAPK cascade; Tubulin family; p53 pathway,,,"Adcy8, Stag1, Ppfia1, Aff2, Abcc4, Vars1, Sall1, Sall1, Crybg3, Slc4a7, Tbc1d4, Ktn1, Ppip5k2, Abcb4, Diaph1, L1cam, Ankar, Col15a1",9.05,routine
142.0-144.0 kDa,142.0,144.0,74,0,4,4,Actin family; Cell-cycle CDK/cyclin; MAPK cascade; Tubulin family,,"Map3k6, Mapk8ip3, Rasal2","Adgrl3, Rasal2, Tbc1d1, Psd3, Arid4a, Gm382, Zmym3, Zfp638, Ulk4, Gm20547, Arhgap29, Clasp2, Mast3, Dhx8, Sympk, Cdhr2, Adgrl3, Ppfia1",12.7,elevated
144.0-146.0 kDa,144.0,146.0,98,0,3,4,Actin family; Histone family; MAPK cascade; Tubulin family,,"Mapk8ip3, Rasal2, Rasgrf1","Sfi1, Dop1b, Rasgrf1, Mypn, Dennd5a, Mast3, Stk36, Smc4, Mapk8ip3 [Actin family; MAPK cascade], Ccdc40, Tnik, Cntnap5b [Actin family], Crb1, Nek1, Iars1, Plekha5, Pxdn, Ptch1",12.4,elevated
146.0-148.0 kDa,146.0,148.0,87,0,3,3,Actin family; MAPK cascade; Tubulin family,,"Map3k19, Mapk8ip3, Srcin1","Cluh, Plekhg2, Adgrl3, Spata31f1b, Spata31f1c, Spata31f1d, Spag9 [Actin family], Usp42, Cntnap5c [Actin family], Usp19, Myo6, Srcin1, Usp31, Zfyve9, Ktn1, Synj1, Rims2, Usp19",11.1,elevated
148.0-150.0 kDa,148.0,150.0,76,0,2,4,Actin family; Apoptosis caspase/BCL; Lamin family; MAPK cascade,,"Bcl9, Map3k15","Trim66, Clip1, Pitpnm2, Tbc1d32, Cluh, Myo3b, Myo6, Cgnl1, Cntnap2 [Actin family], Syngap1, Cntnap2 [Actin family], Kank1, Aox4, Znf541, Zfp827, Myo6, Zfp644, Disp3",9.8,routine
150.0-152.0 kDa,150.0,152.0,76,0,0,1,Actin family,,,"Kif16b, Phldb1, Mink1, Ptprf, Nup155, Myof, Kif24, Pds5a, Nphp3, Tnrc6a, Pds5a, Ncor1, Nfasc, Tnik [Actin family], Mink1, Carmil3, Kdr, Pnpla7",4.55,routine
