mw_bin_label,bin_start_kda,bin_end_kda,protein_count,marker_count,signaling_prefix_count,family_count,families,marker_genes,signaling_genes,examples_audit_families,audit_burden_score,audit_priority
154.0-156.0 kDa,154.0,156.0,8,0,0,0,,,,"SEC3, RAV1, YLL067C, RSF2, MHP1, LYS2, YLL066C, YML133C",0.4,routine
156.0-158.0 kDa,156.0,158.0,7,0,0,2,Heat_shock_chaperones; Histones,,,"YRF1-4, KRE5, NUP157, STH1, BNR1, YTA7 [Heat_shock_chaperones; Histones], AUS1",1.85,routine
158.0-160.0 kDa,158.0,160.0,2,0,0,0,,,,"NUP159, GEA1",0.1,routine
160.0-162.0 kDa,160.0,162.0,10,0,0,2,Actin_tubulin; Ubiquitin_system,,,"SSN2, PAN1 [Actin_tubulin], CAT8, PDR11, YSP2, FLO1, MET5, MMS1 [Ubiquitin_system], TAF2, SPP41",2.0,routine
162.0-164.0 kDa,162.0,164.0,10,0,0,1,Ubiquitin_system,,,"SMC4, RPO31, ECM5, YLR419W, SPA2, LTE1, SNT2 [Ubiquitin_system], TRM732, SKI3, SGS1",1.25,routine
164.0-166.0 kDa,164.0,166.0,6,0,1,3,MAPK_signaling; Protein_kinases; TOR_AGC_signaling,,BCK1,"BCK1 [MAPK_signaling; Protein_kinases], TOP2, TSC11 [TOR_AGC_signaling], BUD4, TRM3, GEA2",4.05,routine
166.0-168.0 kDa,166.0,168.0,10,0,0,2,Protein_kinases; Ubiquitin_system,,,"FIG2, HAP1, VPS15 [Protein_kinases], YOR1, YPK9, POL1, SRB8, MDS3, MMS22 [Ubiquitin_system], UFD4 [Ubiquitin_system]",2.0,routine
168.0-170.0 kDa,168.0,170.0,6,0,0,1,Protein_kinases,,,"CHD1, SPT6, SNQ2, MYO4, NUP170, HSL1 [Protein_kinases]",1.05,routine
170.0-172.0 kDa,170.0,172.0,7,0,0,0,,,,"PDR5, PDR12, TCB3, SCC2, YCF1, INO80, DNA2",0.35,routine
172.0-174.0 kDa,172.0,174.0,4,0,0,0,,,,"PDR15, TY3B-I, IQG1, REV3",0.2,routine
174.0-176.0 kDa,174.0,176.0,8,0,0,0,,,,"STU1, VTH2, VTH1, SWR1, ARO1, SIN3, GDB1, XRN1",0.4,routine
176.0-178.0 kDa,176.0,178.0,5,0,0,1,TOR_AGC_signaling,,,"PDR10, BPT1, KOG1 [TOR_AGC_signaling], PEP1, DNF1",1.0,routine
178.0-180.0 kDa,178.0,180.0,3,0,0,2,Autophagy; Cell_cycle,,,"TY3B-G, ATG2 [Autophagy], CDC25 [Cell_cycle]",1.65,routine
180.0-182.0 kDa,180.0,182.0,7,0,0,2,MAPK_signaling; Ubiquitin_system,,,"RKR1 [Ubiquitin_system], IRC20 [Ubiquitin_system], SSK2 [MAPK_signaling], MYO2, VMR1, TY1B-DR4, IML1",1.85,routine
182.0-184.0 kDa,182.0,184.0,2,0,0,0,,,,"DNF2, THO2",0.1,routine
184.0-186.0 kDa,184.0,186.0,2,0,0,1,Ubiquitin_system,,,"ULS1 [Ubiquitin_system], BUD3",0.85,routine
186.0-188.0 kDa,186.0,188.0,7,0,0,0,,,,"RPA190, MON2, CRM2, NTE1, ESC1, CHC1, ESP1",0.35,routine
